"YEAR","CASEID","SERIAL","REGION","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","PERNUM","LINENO","DAY","WT06","AGE","SEX","RACE","HISPAN","ASIAN","MARST","EDUC","EMPSTAT","MULTJOBS","WHYABSNT","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","SPAGE","SPSEX","SPRACE","SPHISPAN","SPEDUC","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","DIFFANY","ECPRIOR","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_FOOD","BLS_HHACT","BLS_LEIS","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK"
2023,20230101231581,78,4,1,3,1,0,1,0,999,3,1,1,7,5496025.742721000,77,2,100,100,999,1,41,2,0,14,2,9995,0.0,1,80,1,100,100,21,1,12,99999.98,1,0,15,0,0,0,75,130,161,714,0,255,0
2023,20230101231587,79,3,3,3,2,1,1,1,0,2,1,1,3,21567818.49448800,39,1,110,100,999,1,32,1,0,999,1,36,500.0,1,33,2,110,100,32,1,40,1280.0,1,0,90,0,0,0,60,210,540,335,205,0,0
2023,20230101231591,80,1,7,1,1,0,1,0,999,1,1,1,1,4914432.231353000,80,2,100,100,999,3,21,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,15,285,555,585,0,0,0
2023,20230101231597,81,4,14,2,1,0,1,0,999,2,1,1,2,8678543.859404000,73,2,100,100,999,1,40,5,99,999,99,9999,99999.99,1,69,1,100,100,31,3,999,99999.98,1,0,0,0,0,0,30,95,545,595,175,0,0
2023,20230101231601,82,1,16,2,1,0,1,0,999,2,1,1,7,7378625.551999000,31,2,100,100,999,6,43,1,0,999,1,45,2076.92,2,27,1,100,100,40,1,40,1596.15,1,0,0,0,0,0,150,120,120,660,390,0,0
2023,20230101231613,83,3,15,1,2,0,1,0,999,1,1,1,7,1847737.834627000,51,2,110,100,999,4,40,1,0,999,1,40,2307.69,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,10,30,920,480,0,0,0
2023,20230101231635,84,1,16,3,1,0,1,0,999,3,1,1,4,22495086.74154100,51,2,131,100,10,3,41,1,0,999,1,40,1100.0,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,45,0,65,70,165,550,65,0,480
2023,20230101231665,85,3,5,1,2,0,1,0,999,1,1,1,4,11398918.70622500,64,1,100,100,999,4,21,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,2,0,0,0,0,0,40,50,930,420,0,0,0
2023,20230101231673,86,1,9,1,2,0,1,0,999,1,1,1,4,10815327.11994100,62,1,110,100,999,2,17,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,90,0,660,610,0,80,0
2023,20230101231681,87,3,16,2,1,0,1,0,999,2,1,1,1,12778523.57086600,33,1,100,100,999,1,30,1,0,999,1,40,1634.61,1,32,2,100,210,40,1,40,760.0,1,0,0,0,0,0,30,60,880,470,0,0,0
